Wind Speed,Power
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,0
2.1,0
2.2,0
2.3,0
2.4,0
2.5,0
2.6,0
2.7,0
2.8,0
2.9,0
3,191.22
3.1,224.41
3.2,260.26
3.3,298.81
3.4,340.12
3.5,384.23
3.6,431.21
3.7,481.1
3.8,533.96
3.9,589.82
4,648.76
4.1,710.81
4.2,776.04
4.3,844.48
4.4,916.2
4.5,991.24
4.6,1069.7
4.7,1151.5
4.8,1236.8
4.9,1325.7
5,1418.1
5.1,1514.2
5.2,1613.9
5.3,1717.4
5.4,1824.7
5.5,1935.8
5.6,2050.9
5.7,2169.8
5.8,2292.8
5.9,2419.8
6,2550.9
6.1,2686.1
6.2,2825.6
6.3,2969.2
6.4,3117.3
6.5,3269.6
6.6,3426.4
6.7,3587.6
6.8,3753.3
6.9,3923.6
7,4098.5
7.1,4278.1
7.2,4462.4
7.3,4651.5
7.4,4845.4
7.5,5044.1
7.6,5247.8
7.7,5456.4
7.8,5670.1
7.9,5888.9
8,6112.7
8.1,6341.8
8.2,6576.1
8.3,6815.7
8.4,7060.6
8.5,7310.9
8.6,7566.6
8.7,7827.9
8.8,8094.6
8.9,8367
9,8645
9.1,8928.7
9.2,9218.2
9.3,9513.4
9.4,9814.5
9.5,10122
9.6,10434
9.7,10753
9.8,11078
9.9,11410
10,11747
10.1,12090
10.2,12440
10.3,12796
10.4,13159
10.5,13528
10.6,13903
10.7,14285
10.8,14673
10.9,15000
11,15000
11.1,15000
11.2,15000
11.3,15000
11.4,15000
11.5,15000
11.6,15000
11.7,15000
11.8,15000
11.9,15000
12,15000
12.1,15000
12.2,15000
12.3,15000
12.4,15000
12.5,15000
12.6,15000
12.7,15000
12.8,15000
12.9,15000
13,15000
13.1,15000
13.2,15000
13.3,15000
13.4,15000
13.5,15000
13.6,15000
13.7,15000
13.8,15000
13.9,15000
14,15000
14.1,15000
14.2,15000
14.3,15000
14.4,15000
14.5,15000
14.6,15000
14.7,15000
14.8,15000
14.9,15000
15,15000
15.1,15000
15.2,15000
15.3,15000
15.4,15000
15.5,15000
15.6,15000
15.7,15000
15.8,15000
15.9,15000
16,15000
16.1,15000
16.2,15000
16.3,15000
16.4,15000
16.5,15000
16.6,15000
16.7,15000
16.8,15000
16.9,15000
17,15000
17.1,15000
17.2,15000
17.3,15000
17.4,15000
17.5,15000
17.6,15000
17.7,15000
17.8,15000
17.9,15000
18,15000
18.1,15000
18.2,15000
18.3,15000
18.4,15000
18.5,15000
18.6,15000
18.7,15000
18.8,15000
18.9,15000
19,15000
19.1,15000
19.2,15000
19.3,15000
19.4,15000
19.5,15000
19.6,15000
19.7,15000
19.8,15000
